"Fecha","Unidades"
2012-01-01,2
2012-01-02,539
2012-01-03,690
2012-01-04,827
2012-01-05,896
2012-01-06,909
2012-01-07,262
2012-01-08,3
2012-01-09,29
2012-01-10,850
2012-01-11,987
2012-01-12,1035
2012-01-13,1113
2012-01-14,318
2012-01-15,3
2012-01-16,713
2012-01-17,884
2012-01-18,1004
2012-01-19,1033
2012-01-20,1085
2012-01-21,315
2012-01-22,3
2012-01-23,764
2012-01-24,945
2012-01-25,1074
2012-01-26,1132
2012-01-27,1170
2012-01-28,341
2012-01-29,4
2012-01-30,1042
2012-01-31,1318
2012-02-01,949
2012-02-02,995
2012-02-03,1058
2012-02-04,294
2012-02-05,3
2012-02-06,772
2012-02-07,993
2012-02-08,1081
2012-02-09,1126
2012-02-10,1177
2012-02-11,337
2012-02-12,3
2012-02-13,880
2012-02-14,1116
2012-02-15,1053
2012-02-16,1091
2012-02-17,1167
2012-02-18,326
2012-02-19,3
2012-02-20,848
2012-02-21,1079
2012-02-22,1146
2012-02-23,1205
2012-02-24,1273
2012-02-25,355
2012-02-26,3
2012-02-27,937
2012-02-28,1219
2012-02-29,1544
2012-03-01,1113
2012-03-02,1190
2012-03-03,329
2012-03-04,3
2012-03-05,865
2012-03-06,1113
2012-03-07,1311
2012-03-08,1288
2012-03-09,1331
2012-03-10,381
2012-03-11,4
2012-03-12,1000
2012-03-13,1289
2012-03-14,1446
2012-03-15,1276
2012-03-16,1356
2012-03-17,366
2012-03-18,3
2012-03-19,38
2012-03-20,1167
2012-03-21,1366
2012-03-22,1335
2012-03-23,1430
2012-03-24,386
2012-03-25,4
2012-03-26,1084
2012-03-27,1330
2012-03-28,1557
2012-03-29,1905
2012-03-30,2075
2012-03-31,541
2012-04-01,3
2012-04-02,739
2012-04-03,974
2012-04-04,1008
2012-04-05,40
2012-04-06,41
2012-04-07,311
2012-04-08,3
2012-04-09,813
2012-04-10,1065
2012-04-11,1239
2012-04-12,1286
2012-04-13,1322
2012-04-14,368
2012-04-15,3
2012-04-16,786
2012-04-17,1003
2012-04-18,1171
2012-04-19,1161
2012-04-20,1290
2012-04-21,348
2012-04-22,3
2012-04-23,892
2012-04-24,1119
2012-04-25,1290
2012-04-26,1320
2012-04-27,1258
2012-04-28,397
2012-04-29,4
2012-04-30,1237
2012-05-01,35
2012-05-02,992
2012-05-03,1081
2012-05-04,1152
2012-05-05,319
2012-05-06,3
2012-05-07,864
2012-05-08,1098
2012-05-09,1235
2012-05-10,1277
2012-05-11,1348
2012-05-12,357
2012-05-13,3
2012-05-14,994
2012-05-15,1067
2012-05-16,1193
2012-05-17,1257
2012-05-18,1288
2012-05-19,365
2012-05-20,3
2012-05-21,38
2012-05-22,1083
2012-05-23,1224
2012-05-24,1308
2012-05-25,1398
2012-05-26,392
2012-05-27,4
2012-05-28,1030
2012-05-29,1516
2012-05-30,1724
2012-05-31,1785
2012-06-01,1034
2012-06-02,290
2012-06-03,3
2012-06-04,770
2012-06-05,970
2012-06-06,1124
2012-06-07,1179
2012-06-08,1208
2012-06-09,334
2012-06-10,3
2012-06-11,34
2012-06-12,1060
2012-06-13,1236
2012-06-14,1328
2012-06-15,1167
2012-06-16,322
2012-06-17,3
2012-06-18,731
2012-06-19,1055
2012-06-20,1197
2012-06-21,1286
2012-06-22,1249
2012-06-23,346
2012-06-24,3
2012-06-25,879
2012-06-26,1085
2012-06-27,1400
2012-06-28,1461
2012-06-29,1731
2012-06-30,475
2012-07-01,3
2012-07-02,29
2012-07-03,875
2012-07-04,1043
2012-07-05,1082
2012-07-06,1163
2012-07-07,317
2012-07-08,3
2012-07-09,852
2012-07-10,1086
2012-07-11,1210
2012-07-12,1253
2012-07-13,1370
2012-07-14,370
2012-07-15,3
2012-07-16,802
2012-07-17,1023
2012-07-18,1150
2012-07-19,1268
2012-07-20,47
2012-07-21,353
2012-07-22,3
2012-07-23,894
2012-07-24,1129
2012-07-25,1319
2012-07-26,1351
2012-07-27,1435
2012-07-28,395
2012-07-29,4
2012-07-30,1236
2012-07-31,1532
2012-08-01,978
2012-08-02,1032
2012-08-03,1091
2012-08-04,308
2012-08-05,3
2012-08-06,787
2012-08-07,38
2012-08-08,1071
2012-08-09,1162
2012-08-10,1215
2012-08-11,335
2012-08-12,3
2012-08-13,903
2012-08-14,1129
2012-08-15,1075
2012-08-16,1143
2012-08-17,1176
2012-08-18,332
2012-08-19,3
2012-08-20,35
2012-08-21,1057
2012-08-22,1130
2012-08-23,1215
2012-08-24,1244
2012-08-25,366
2012-08-26,3
2012-08-27,950
2012-08-28,1226
2012-08-29,1583
2012-08-30,1687
2012-08-31,1761
2012-09-01,285
2012-09-02,3
2012-09-03,742
2012-09-04,931
2012-09-05,1038
2012-09-06,1144
2012-09-07,1176
2012-09-08,329
2012-09-09,3
2012-09-10,889
2012-09-11,1102
2012-09-12,1253
2012-09-13,1325
2012-09-14,1348
2012-09-15,322
2012-09-16,3
2012-09-17,843
2012-09-18,1027
2012-09-19,1218
2012-09-20,1275
2012-09-21,1303
2012-09-22,337
2012-09-23,3
2012-09-24,912
2012-09-25,1147
2012-09-26,1330
2012-09-27,1395
2012-09-28,1477
2012-09-29,472
2012-09-30,4
2012-10-01,733
2012-10-02,938
2012-10-03,1072
2012-10-04,1130
2012-10-05,1181
2012-10-06,328
2012-10-07,3
2012-10-08,884
2012-10-09,1078
2012-10-10,1215
2012-10-11,1270
2012-10-12,1314
2012-10-13,366
2012-10-14,3
2012-10-15,33
2012-10-16,975
2012-10-17,1134
2012-10-18,1146
2012-10-19,1296
2012-10-20,362
2012-10-21,3
2012-10-22,893
2012-10-23,1123
2012-10-24,1269
2012-10-25,1325
2012-10-26,1388
2012-10-27,391
2012-10-28,4
2012-10-29,1197
2012-10-30,1575
2012-10-31,1722
2012-11-01,970
2012-11-02,1054
2012-11-03,289
2012-11-04,3
2012-11-05,30
2012-11-06,916
2012-11-07,1057
2012-11-08,1120
2012-11-09,1178
2012-11-10,323
2012-11-11,3
2012-11-12,34
2012-11-13,1041
2012-11-14,1214
2012-11-15,1085
2012-11-16,1129
2012-11-17,318
2012-11-18,3
2012-11-19,858
2012-11-20,1088
2012-11-21,1202
2012-11-22,1174
2012-11-23,1246
2012-11-24,349
2012-11-25,3
2012-11-26,958
2012-11-27,1225
2012-11-28,1394
2012-11-29,1716
2012-11-30,1828
2012-12-01,375
2012-12-02,3
2012-12-03,971
2012-12-04,1213
2012-12-05,1446
2012-12-06,1556
2012-12-07,1588
2012-12-08,18
2012-12-09,4
2012-12-10,1200
2012-12-11,1550
2012-12-12,1764
2012-12-13,1867
2012-12-14,1960
2012-12-15,433
2012-12-16,4
2012-12-17,1202
2012-12-18,1621
2012-12-19,1854
2012-12-20,1976
2012-12-21,2071
2012-12-22,463
2012-12-23,4
2012-12-24,1147
2012-12-25,59
2012-12-26,1740
2012-12-27,2050
2012-12-28,2331
2012-12-29,620
2012-12-30,6
2012-12-31,1629
2013-01-01,29
2013-01-02,820
2013-01-03,888
2013-01-04,901
2013-01-05,259
2013-01-06,3
2013-01-07,28
2013-01-08,810
2013-01-09,940
2013-01-10,986
2013-01-11,1059
2013-01-12,302
2013-01-13,3
2013-01-14,786
2013-01-15,843
2013-01-16,958
2013-01-17,984
2013-01-18,1034
2013-01-19,300
2013-01-20,3
2013-01-21,788
2013-01-22,905
2013-01-23,1028
2013-01-24,1084
2013-01-25,1120
2013-01-26,327
2013-01-27,3
2013-01-28,852
2013-01-29,1262
2013-01-30,1424
2013-01-31,1493
2013-02-01,962
2013-02-02,268
2013-02-03,3
2013-02-04,705
2013-02-05,908
2013-02-06,1009
2013-02-07,1051
2013-02-08,1077
2013-02-09,308
2013-02-10,3
2013-02-11,807
2013-02-12,1019
2013-02-13,1132
2013-02-14,1172
2013-02-15,1066
2013-02-16,297
2013-02-17,3
2013-02-18,772
2013-02-19,984
2013-02-20,1129
2013-02-21,1187
2013-02-22,1161
2013-02-23,324
2013-02-24,3
2013-02-25,848
2013-02-26,1108
2013-02-27,1230
2013-02-28,1272
2013-03-01,963
2013-03-02,266
2013-03-03,3
2013-03-04,703
2013-03-05,916
2013-03-06,1079
2013-03-07,1082
2013-03-08,1095
2013-03-09,313
2013-03-10,3
2013-03-11,821
2013-03-12,1059
2013-03-13,1188
2013-03-14,1234
2013-03-15,1114
2013-03-16,301
2013-03-17,3
2013-03-18,684
2013-03-19,947
2013-03-20,1109
2013-03-21,1171
2013-03-22,1161
2013-03-23,314
2013-03-24,3
2013-03-25,33
2013-03-26,1111
2013-03-27,1300
2013-03-28,49
2013-03-29,59
2013-03-30,452
2013-03-31,4
2013-04-01,808
2013-04-02,989
2013-04-03,1023
2013-04-04,868
2013-04-05,906
2013-04-06,316
2013-04-07,3
2013-04-08,802
2013-04-09,1110
2013-04-10,1291
2013-04-11,1341
2013-04-12,1378
2013-04-13,384
2013-04-14,4
2013-04-15,838
2013-04-16,1056
2013-04-17,1233
2013-04-18,1223
2013-04-19,1358
2013-04-20,366
2013-04-21,4
2013-04-22,915
2013-04-23,1147
2013-04-24,1322
2013-04-25,1353
2013-04-26,1289
2013-04-27,407
2013-04-28,4
2013-04-29,1298
2013-04-30,1245
2013-05-01,36
2013-05-02,1011
2013-05-03,1077
2013-05-04,298
2013-05-05,3
2013-05-06,800
2013-05-07,1071
2013-05-08,1179
2013-05-09,1220
2013-05-10,1287
2013-05-11,341
2013-05-12,3
2013-05-13,37
2013-05-14,1198
2013-05-15,1137
2013-05-16,1199
2013-05-17,1228
2013-05-18,348
2013-05-19,3
2013-05-20,778
2013-05-21,1075
2013-05-22,1125
2013-05-23,1202
2013-05-24,1285
2013-05-25,361
2013-05-26,3
2013-05-27,941
2013-05-28,1224
2013-05-29,1611
2013-05-30,1668
2013-05-31,1731
2013-06-01,268
2013-06-02,3
