"Fecha","Unidades"
2017-12-31,5
2018-01-01,21
2018-01-02,557
2018-01-03,620
2018-01-04,657
2018-01-05,698
2018-01-06,239
2018-01-07,2
2018-01-08,24
2018-01-09,660
2018-01-10,796
2018-01-11,816
2018-01-12,879
2018-01-13,305
2018-01-14,3
2018-01-15,568
2018-01-16,741
2018-01-17,826
2018-01-18,850
2018-01-19,890
2018-01-20,295
2018-01-21,3
2018-01-22,604
2018-01-23,777
2018-01-24,869
2018-01-25,901
2018-01-26,953
2018-01-27,318
2018-01-28,3
2018-01-29,836
2018-01-30,1095
2018-01-31,1357
2018-02-01,712
2018-02-02,754
2018-02-03,254
2018-02-04,2
2018-02-05,562
2018-02-06,722
2018-02-07,813
2018-02-08,825
2018-02-09,860
2018-02-10,290
2018-02-11,3
2018-02-12,644
2018-02-13,830
2018-02-14,925
2018-02-15,813
2018-02-16,839
2018-02-17,283
2018-02-18,3
2018-02-19,635
2018-02-20,812
2018-02-21,920
2018-02-22,888
2018-02-23,914
2018-02-24,317
2018-02-25,3
2018-02-26,701
2018-02-27,933
2018-02-28,1201
2018-03-01,732
2018-03-02,783
2018-03-03,262
2018-03-04,3
2018-03-05,573
2018-03-06,752
2018-03-07,872
2018-03-08,868
2018-03-09,899
2018-03-10,303
2018-03-11,3
2018-03-12,655
2018-03-13,860
2018-03-14,994
2018-03-15,865
2018-03-16,903
2018-03-17,298
2018-03-18,3
2018-03-19,28
2018-03-20,769
2018-03-21,919
2018-03-22,897
2018-03-23,934
2018-03-24,304
2018-03-25,3
2018-03-26,730
2018-03-27,957
2018-03-28,1119
2018-03-29,52
2018-03-30,55
2018-03-31,536
2018-04-01,2
2018-04-02,544
2018-04-03,691
2018-04-04,806
2018-04-05,830
2018-04-06,878
2018-04-07,299
2018-04-08,3
2018-04-09,607
2018-04-10,790
2018-04-11,923
2018-04-12,893
2018-04-13,863
2018-04-14,295
2018-04-15,3
2018-04-16,605
2018-04-17,766
2018-04-18,871
2018-04-19,931
2018-04-20,963
2018-04-21,327
2018-04-22,3
2018-04-23,692
2018-04-24,908
2018-04-25,1062
2018-04-26,1102
2018-04-27,1163
2018-04-28,418
2018-04-29,4
2018-04-30,884
2018-05-01,28
2018-05-02,732
2018-05-03,772
2018-05-04,820
2018-05-05,280
2018-05-06,3
2018-05-07,622
2018-05-08,794
2018-05-09,895
2018-05-10,941
2018-05-11,972
2018-05-12,326
2018-05-13,3
2018-05-14,31
2018-05-15,781
2018-05-16,899
2018-05-17,917
2018-05-18,960
2018-05-19,322
2018-05-20,3
2018-05-21,710
2018-05-22,854
2018-05-23,996
2018-05-24,1028
2018-05-25,1073
2018-05-26,363
2018-05-27,3
2018-05-28,771
2018-05-29,1073
2018-05-30,1352
2018-05-31,1647
2018-06-01,718
2018-06-02,239
2018-06-03,2
2018-06-04,24
2018-06-05,698
2018-06-06,788
2018-06-07,820
2018-06-08,838
2018-06-09,284
2018-06-10,3
2018-06-11,27
2018-06-12,798
2018-06-13,913
2018-06-14,949
2018-06-15,825
2018-06-16,281
2018-06-17,3
2018-06-18,603
2018-06-19,730
2018-06-20,897
2018-06-21,932
2018-06-22,911
2018-06-23,297
2018-06-24,3
2018-06-25,684
2018-06-26,833
2018-06-27,1049
2018-06-28,1100
2018-06-29,1373
2018-06-30,541
